iter	Passed	Remaining
0	137	137567
1	138	69016
2	138	46131
3	139	34682
4	139	27818
5	140	23238
6	140	19974
7	141	17525
8	141	15618
9	142	14087
10	142	12836
11	143	11792
12	143	10908
13	144	10154
14	144	9500
15	145	8926
16	145	8423
17	146	7973
18	146	7569
19	147	7206
20	147	6878
21	148	6582
22	148	6310
23	149	6060
24	149	5830
25	149	5618
26	150	5421
27	150	5238
28	151	5068
29	151	4910
30	152	4762
31	152	4623
32	153	4492
33	153	4370
34	154	4253
35	154	4144
36	155	4041
37	155	3943
38	156	3850
39	156	3761
40	157	3677
41	157	3597
42	158	3521
43	158	3450
44	159	3381
45	159	3314
46	160	3250
47	160	3190
48	161	3133
49	161	3077
50	162	3023
51	162	2971
52	163	2921
53	164	2873
54	164	2826
55	164	2780
56	165	2737
57	165	2695
58	166	2654
59	166	2614
60	167	2576
61	167	2539
62	168	2503
63	168	2468
64	169	2435
65	169	2402
66	170	2370
67	170	2336
68	170	2306
69	171	2277
70	171	2249
71	172	2221
72	172	2194
73	173	2168
74	173	2142
75	174	2118
76	174	2094
77	175	2071
78	175	2048
79	176	2025
80	176	2003
81	177	1982
82	177	1961
83	178	1941
84	178	1920
85	178	1900
86	179	1880
87	179	1861
88	180	1843
89	180	1825
90	181	1808
91	181	1791
92	182	1775
93	182	1758
94	182	1742
95	183	1727
96	183	1711
97	184	1696
98	184	1682
99	185	1667
100	185	1653
101	186	1637
102	186	1624
103	187	1611
104	203	1731
105	203	1719
106	204	1706
107	204	1692
108	205	1679
109	205	1665
110	206	1652
111	206	1639
112	207	1626
113	207	1614
114	208	1601
115	208	1588
116	208	1577
117	209	1565
118	209	1553
119	210	1541
120	210	1530
121	211	1519
122	211	1507
123	211	1496
124	212	1486
125	212	1475
126	213	1465
127	213	1454
128	213	1444
129	214	1434
130	214	1425
131	215	1416
132	215	1406
133	216	1397
134	216	1388
135	217	1379
136	217	1370
137	218	1361
138	218	1353
139	218	1345
140	219	1336
141	219	1328
142	220	1320
143	220	1312
144	221	1304
145	221	1296
146	222	1289
147	222	1281
148	223	1274
149	223	1266
150	224	1259
151	224	1252
152	224	1245
153	225	1238
154	225	1231
155	226	1224
156	226	1217
157	227	1211
158	227	1204
159	228	1197
160	228	1191
161	229	1185
162	229	1178
163	230	1172
164	230	1166
165	230	1160
166	231	1154
167	231	1148
168	232	1142
169	232	1136
170	233	1130
171	233	1125
172	234	1119
173	234	1113
174	235	1108
175	235	1102
176	235	1097
177	236	1091
178	236	1086
179	237	1081
180	237	1075
181	238	1069
182	238	1064
183	238	1059
184	239	1054
185	239	1049
186	240	1044
187	240	1039
188	241	1035
189	241	1030
190	242	1025
191	242	1020
192	243	1016
193	243	1011
194	243	1007
195	244	1002
196	244	998
197	245	993
198	245	989
